epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,430.825,0.85136,0.59501,0.89128,0.82309,0.80232,0.8644,0.61875,0.97355,0.63384,0.92154,0.00999533,0.00333178,0.00999533,0.00333178,0.00999533,0.00333178,0.00999533,0.00333178
2,846.968,0.76704,0.4627,0.86563,0.83951,0.7792,0.85509,0.61697,0.96085,0.66024,0.93355,0.0195994,0.00653314,0.0195994,0.00653314,0.0195994,0.00653314,0.0195994,0.00653314
3,1245.01,0.7676,0.45875,0.86808,0.81174,0.76424,0.83176,0.59221,0.9762,0.6296,0.94397,0.0288075,0.00960251,0.0288075,0.00960251,0.0288075,0.00960251,0.0288075,0.00960251
4,1638.94,0.74378,0.43912,0.86345,0.8404,0.75369,0.82391,0.59618,0.96852,0.68509,0.93877,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2033.9,0.70357,0.4033,0.85375,0.84147,0.77314,0.83799,0.60945,0.96541,0.65269,0.93891,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2428.57,0.6806,0.38099,0.84841,0.85644,0.77216,0.84492,0.6228,0.95481,0.65734,0.93452,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2824.82,0.66447,0.36795,0.84429,0.87276,0.76193,0.85078,0.62812,0.94204,0.64867,0.92909,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3219.91,0.65322,0.35828,0.84256,0.86952,0.77486,0.8419,0.62589,0.94516,0.66373,0.93176,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3615.04,0.64228,0.35005,0.84048,0.86142,0.78729,0.84873,0.63105,0.94108,0.65397,0.92994,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4009.67,0.63423,0.34263,0.83748,0.87016,0.78332,0.84173,0.62959,0.93379,0.6526,0.92812,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4404.45,0.62451,0.33714,0.83596,0.86999,0.78477,0.84115,0.62957,0.93358,0.64912,0.93058,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4800.02,0.6181,0.3319,0.83467,0.8679,0.77848,0.8361,0.62756,0.9324,0.65836,0.93089,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5197.72,0.61348,0.32822,0.83389,0.86981,0.77751,0.83753,0.62828,0.93162,0.65143,0.92992,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5594.57,0.6072,0.32415,0.83273,0.87843,0.77074,0.83793,0.62897,0.93423,0.6526,0.93142,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5988.68,0.60115,0.3208,0.83077,0.87069,0.77893,0.84098,0.63005,0.93179,0.64402,0.92994,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6383.75,0.59656,0.31761,0.8297,0.8704,0.78145,0.84196,0.63112,0.93176,0.6436,0.92973,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6779.65,0.59101,0.3139,0.82966,0.87107,0.78268,0.84259,0.63203,0.93226,0.64265,0.93042,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7175.52,0.58665,0.31146,0.82828,0.86989,0.7818,0.8429,0.6324,0.93257,0.64449,0.93098,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7569.72,0.58228,0.3083,0.82686,0.8719,0.77891,0.84302,0.6328,0.93233,0.64557,0.93121,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7965.29,0.57845,0.30603,0.82724,0.86703,0.78648,0.84275,0.63377,0.93228,0.6475,0.93163,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8359.51,0.57398,0.30326,0.82578,0.87092,0.78344,0.84286,0.63389,0.93275,0.64843,0.9318,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8755.76,0.56987,0.30079,0.82488,0.87654,0.77813,0.84295,0.6349,0.93222,0.64885,0.93165,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9155.05,0.56723,0.29933,0.82472,0.87787,0.77714,0.84296,0.63451,0.93249,0.64746,0.93207,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9549.4,0.56213,0.29573,0.82308,0.87783,0.77838,0.84197,0.63483,0.9331,0.64471,0.93224,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9944.18,0.55975,0.29431,0.82292,0.88077,0.77747,0.84219,0.6347,0.93368,0.64388,0.9323,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10338.1,0.55534,0.29204,0.82269,0.88124,0.77748,0.8423,0.63513,0.93485,0.64437,0.93287,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10733.2,0.55215,0.29024,0.82171,0.88095,0.77906,0.84225,0.63541,0.93538,0.64258,0.933,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11128.3,0.54732,0.28749,0.82089,0.88018,0.77954,0.84258,0.63545,0.93505,0.63978,0.93291,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11523.3,0.54326,0.28474,0.81994,0.88412,0.77625,0.84259,0.63495,0.93479,0.63825,0.93266,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
