frame,time_sec,line,direction,track_id,class_name
1,0.033,mid,ltr,11,car
1,0.033,mid,ltr,17,truck
5,0.167,mid,ltr,6,car
8,0.267,mid,ltr,50,car
11,0.367,mid,ltr,41,car
15,0.5,mid,ltr,21,car
17,0.567,mid,ltr,28,car
19,0.633,mid,rtl,47,car
20,0.667,mid,ltr,49,car
20,0.667,mid,ltr,117,car
27,0.9,mid,ltr,13,car
28,0.933,mid,ltr,25,car
30,1.0,mid,ltr,15,car
33,1.1,mid,ltr,14,car
33,1.1,mid,ltr,118,car
34,1.133,mid,ltr,138,car
35,1.167,mid,ltr,82,car
37,1.233,mid,ltr,10,truck
39,1.3,mid,ltr,144,car
39,1.3,mid,ltr,48,car
42,1.4,mid,ltr,161,car
45,1.5,mid,ltr,167,car
47,1.567,mid,ltr,193,car
47,1.567,mid,ltr,190,car
48,1.6,mid,ltr,183,car
51,1.7,mid,ltr,147,car
51,1.7,mid,ltr,236,car
51,1.7,mid,ltr,186,car
53,1.767,mid,ltr,181,car
55,1.833,mid,ltr,206,car
61,2.033,mid,ltr,254,car
63,2.1,mid,ltr,295,car
63,2.1,mid,ltr,274,car
66,2.2,mid,ltr,44,car
68,2.267,mid,ltr,162,truck
70,2.333,mid,ltr,326,car
72,2.4,mid,ltr,292,car
79,2.633,mid,ltr,108,car
82,2.733,mid,ltr,344,car
85,2.833,mid,ltr,351,car
86,2.867,mid,ltr,345,car
87,2.9,mid,ltr,287,truck
88,2.933,mid,ltr,429,car
95,3.167,mid,ltr,378,car
99,3.3,mid,ltr,430,car
99,3.3,mid,ltr,327,car
105,3.5,mid,ltr,492,car
107,3.567,mid,ltr,405,car
107,3.567,mid,ltr,439,car
109,3.633,mid,ltr,522,car
109,3.633,mid,ltr,427,car
110,3.667,mid,rtl,395,car
114,3.8,mid,ltr,572,car
115,3.833,mid,ltr,530,car
115,3.833,mid,ltr,556,car
119,3.967,mid,ltr,540,car
125,4.167,mid,ltr,560,car
125,4.167,mid,ltr,568,car
128,4.267,mid,ltr,507,car
129,4.3,mid,ltr,592,car
129,4.3,mid,ltr,616,car
130,4.333,mid,ltr,562,car
131,4.367,mid,ltr,265,car
132,4.4,mid,ltr,612,car
134,4.467,mid,ltr,647,car
136,4.533,mid,ltr,582,car
137,4.567,mid,ltr,614,car
143,4.767,mid,ltr,674,car
144,4.8,mid,ltr,673,car
146,4.867,mid,ltr,471,car
147,4.9,mid,ltr,606,car
