frame,time_sec,line,direction,track_id,class_name
1,0.033,mid,ltr,6,car
1,0.033,mid,ltr,20,car
1,0.033,mid,ltr,25,truck
5,0.167,mid,ltr,4,car
5,0.167,mid,ltr,18,car
8,0.267,mid,ltr,16,car
8,0.267,mid,ltr,42,car
8,0.267,mid,rtl,45,car
8,0.267,mid,ltr,48,car
11,0.367,mid,ltr,7,car
11,0.367,mid,ltr,24,car
12,0.4,mid,ltr,58,car
14,0.467,mid,ltr,22,car
16,0.533,mid,ltr,17,car
18,0.6,mid,ltr,19,car
20,0.667,mid,ltr,21,car
20,0.667,mid,ltr,28,truck
27,0.9,mid,ltr,9,car
29,0.967,mid,ltr,66,car
30,1.0,mid,ltr,53,car
31,1.033,mid,ltr,62,car
33,1.1,mid,ltr,10,car
33,1.1,mid,ltr,30,car
34,1.133,mid,ltr,64,car
34,1.133,mid,ltr,11,car
35,1.167,mid,ltr,51,car
37,1.233,mid,ltr,71,car
37,1.233,mid,ltr,15,car
39,1.3,mid,ltr,114,car
40,1.333,mid,ltr,27,truck
40,1.333,mid,ltr,74,car
41,1.367,mid,ltr,113,car
44,1.467,mid,ltr,95,car
45,1.5,mid,ltr,134,car
47,1.567,mid,ltr,140,car
47,1.567,mid,ltr,72,car
48,1.6,mid,ltr,137,car
48,1.6,mid,ltr,96,car
51,1.7,mid,ltr,117,car
51,1.7,mid,ltr,97,car
51,1.7,mid,ltr,120,car
51,1.7,mid,ltr,55,car
53,1.767,mid,ltr,178,car
53,1.767,mid,ltr,186,car
55,1.833,mid,ltr,128,car
57,1.9,mid,ltr,119,car
58,1.933,mid,ltr,116,car
59,1.967,mid,ltr,207,car
60,2.0,mid,ltr,131,car
61,2.033,mid,ltr,153,car
63,2.1,mid,ltr,50,car
64,2.133,mid,ltr,136,car
64,2.133,mid,ltr,206,car
64,2.133,mid,rtl,211,car
65,2.167,mid,ltr,146,car
68,2.267,mid,ltr,240,car
69,2.3,mid,ltr,173,car
71,2.367,mid,ltr,176,car
72,2.4,mid,ltr,160,car
72,2.4,mid,ltr,175,car
76,2.533,mid,ltr,194,car
77,2.567,mid,ltr,188,car
79,2.633,mid,ltr,202,car
82,2.733,mid,ltr,268,car
85,2.833,mid,ltr,229,car
85,2.833,mid,ltr,280,car
87,2.9,mid,ltr,224,truck
88,2.933,mid,ltr,232,car
88,2.933,mid,ltr,263,car
90,3.0,mid,ltr,191,car
92,3.067,mid,ltr,269,car
94,3.133,mid,ltr,303,car
95,3.167,mid,ltr,253,car
99,3.3,mid,ltr,259,car
99,3.3,mid,ltr,271,car
101,3.367,mid,ltr,249,car
103,3.433,mid,rtl,284,car
105,3.5,mid,ltr,278,truck
107,3.567,mid,ltr,333,car
107,3.567,mid,ltr,247,car
109,3.633,mid,ltr,294,car
109,3.633,mid,ltr,264,car
114,3.8,mid,ltr,349,car
114,3.8,mid,ltr,355,car
115,3.833,mid,ltr,385,car
119,3.967,mid,ltr,301,car
119,3.967,mid,ltr,323,car
123,4.1,mid,ltr,376,car
123,4.1,mid,ltr,327,car
125,4.167,mid,ltr,328,car
125,4.167,mid,ltr,331,car
126,4.2,mid,ltr,316,car
129,4.3,mid,ltr,332,car
129,4.3,mid,ltr,350,car
130,4.333,mid,ltr,338,car
131,4.367,mid,ltr,248,car
133,4.433,mid,ltr,377,car
133,4.433,mid,ltr,406,car
136,4.533,mid,ltr,369,car
137,4.567,mid,ltr,403,car
143,4.767,mid,ltr,421,car
144,4.8,mid,ltr,460,car
146,4.867,mid,ltr,392,car
147,4.9,mid,ltr,393,car
